Season,DayZero,RegionW,RegionX,RegionY,RegionZ
1985,10/29/1984,1,6,7,8
1986,10/28/1985,1,7,8,6
1987,10/27/1986,1,8,7,6
1988,11/2/1987,1,7,8,6
1989,10/31/1988,1,6,7,8
1990,10/30/1989,1,7,8,6
1991,10/29/1990,1,8,7,6
1992,11/4/1991,1,6,7,8
1993,11/2/1992,1,7,8,6
1994,11/1/1993,1,8,7,6
1995,10/31/1994,1,6,7,8
1996,10/30/1995,1,7,8,6
1997,10/28/1996,1,8,7,6
1998,10/27/1997,1,6,7,9
1999,10/26/1998,1,7,9,6
2000,11/1/1999,1,9,7,6
2001,10/30/2000,1,6,7,9
2002,10/29/2001,1,7,9,6
2003,11/4/2002,1,9,7,6
2004,11/3/2003,2,10,15,20
2005,11/1/2004,3,11,16,21
2006,10/31/2005,2,12,17,22
2007,10/30/2006,1,9,7,6
2008,11/5/2007,1,7,9,6
2009,11/3/2008,1,9,7,6
2010,11/2/2009,1,9,7,6
2011,11/1/2010,1,6,8,23
2012,10/31/2011,1,7,9,6
2013,11/5/2012,1,9,7,6
2014,11/4/2013,1,9,7,6
2015,11/3/2014,1,9,7,6
2016,11/2/2015,1,7,9,6
2017,10/31/2016,1,6,7,9
2018,10/30/2017,1,7,9,6
2019,11/5/2018,1,6,7,9
2020,11/4/2019,4,13,18,24
2021,11/2/2020,1,6,7,9
2022,11/1/2021,1,6,7,9
2023,10/31/2022,1,9,7,6
2024,11/6/2023,1,6,7,9
2025,11/4/2024,1,7,9,6
2026,11/3/2025,5,14,19,25
